cluster,topic,dept,n,sample,prominence,dept_counts
Hydrogen Bonding and Complexation in Crystalline Structures,Photochromic Dithizone Complexes in Metal Ion Removal,Kimia,38,"[""Synthesis and evaluation of chalcone derivatives as novel sunscreen agent"", ""Simultaneous Adsorption of Zn(II) and Hg(II) Ions on Selective Adsorbent of Dithizone-Immobilized Bentonite in the Presence of Mg(II) Ion"", ""Eco-friendly immobilization of dithizone on coal bottom ash for the adsorption of lead(II) ion from water""]",69.2,"{""Kimia"": 35, ""Fisika"": 2, ""Matematika"": 1}"
Perovskite and Dye-Sensitized Solar Cell Innovations,Lead-Free Perovskite Solar Cells,Fisika,35,"[""Performance analysis of carbon-based perovskite solar cells by graphene oxide as hole transport layer: Experimental and numerical simulation"", ""Integrated adsorption and photocatalytic removal of methylene blue dye from aqueous solution by hierarchical Nb2O5@PAN/PVDF/ANO composite nanofibers"", ""Natural resources for dye-sensitized solar cells""]",99.4,"{""Fisika"": 17, ""Belum terpetakan"": 2, ""Kimia"": 12, ""Ilmu Komputer dan Elektronika"": 3, ""Matematika"": 1}"
Structure and Properties of Algebraic Systems,Properties and Structures of Prime Submodules,Matematika,34,"[""Krull modules and completely integrally closed modules"", ""On Unique Factorization Modules: A Submodule Approach"", ""Finitely generated torsion-free modules over integrally closed domains""]",7.7,"{""Matematika"": 24, ""Fisika"": 4, ""Ilmu Komputer dan Elektronika"": 2, ""Kimia"": 4}"
Antioxidant Compounds and Their Medicinal Potential,Health Benefits of Garcinia Mangostana Compounds,Kimia,33,"[""An update on the anticancer activity of xanthone derivatives: A review"", ""Phytochemical screening and metabolomic approach based on Fourier transform infrared (FTIR): Identification of α-amylase inhibitor metabolites in Vernonia amygdalina leaves"", ""Synthesis and in vitro assay of hydroxyxanthones as antioxidant and anticancer agents""]",97.5,"{""Kimia"": 28, ""Fisika"": 3, ""Belum terpetakan"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Risk Management and Optimization in Financial Markets,Robust Portfolio Optimization and Risk Management,Matematika,33,"[""Robust covariance estimators for mean-variance portfolio optimization with transaction lots"", ""Modified capital asset pricing model (CAPM) into sharia framework"", ""Robust mean–variance portfolio selection using cluster analysis: A comparison between kamila and weighted k-mean clustering""]",75.4,"{""Belum terpetakan"": 2, ""Matematika"": 26, ""Fisika"": 3, ""Ilmu Komputer dan Elektronika"": 2}"
Carbon Quantum Dots and Organic Light Emitting Devices,Fluorescent Carbon Dots in Biomedical Applications,Kimia,31,"[""Green synthesis of magnetically separable and reusable Fe3O4/Cdots nanocomposites photocatalyst utilizing Moringa oleifera extract and watermelon peel for rapid dye degradation"", ""Transforming high-density polyethylene plastic bags into eco-friendly carbon dots for detecting ferric (Fe3+) ions"", ""Highly fluorescent nitrogen-doped graphene quantum dots (N-GQDs) synthesized from Pennisetum purpureum for selective and sensitive detection of Fe3+ ions""]",97.3,"{""Fisika"": 11, ""Kimia"": 17, ""Ilmu Komputer dan Elektronika"": 3}"
Graphene-Based Nanocomposites for Enhanced Properties,Graphene Nanocomposites and Their Multifaceted Applications,Kimia,30,"[""Electrolyte effect in electrochemical exfoliation of graphite"", ""Challenges of using natural extracts as green reducing agents in the synthesis of rGO: A brief review"", ""Nanocomposites based on biocompatible polymers and graphene oxide for antibacterial coatings""]",92.6,"{""Kimia"": 15, ""Fisika"": 9, ""Belum terpetakan"": 3, ""Matematika"": 2, ""Ilmu Komputer dan Elektronika"": 1}"
Properties and Applications of Two-Dimensional Materials,MXenes in Energy Storage and Sensing Applications,Kimia,30,"[""Recent advances and latest technologies in energy storage applications based on 2D MXene"", ""Spin splitting with persistent spin textures induced by the line defect in the 1T phase of monolayer transition metal dichalcogenides"", ""2D MXene-polymer based composites for biomedical applications""]",98.6,"{""Kimia"": 13, ""Fisika"": 13, ""Matematika"": 3, ""Ilmu Komputer dan Elektronika"": 1}"
"COVID-19, Its Impact, and Vaccination",Modeling COVID-19 Dynamics and Control Strategies,Ilmu Komputer dan Elektronika,29,"[""Real-time forecasting of the COVID-19 epidemic using the richards model in South Sulawesi, Indonesia"", ""Myocarditis and pericarditis associated with SARS-CoV-2 vaccines: A population-based descriptive cohort and a nested self-controlled risk interval study using electronic health care data from four European countries"", ""Molecular epidemiology of SARS-CoV-2 isolated from COVID-19 family clusters""]",99.2,"{""Belum terpetakan"": 4, ""Matematika"": 8, ""Ilmu Komputer dan Elektronika"": 11, ""Kimia"": 5, ""Fisika"": 1}"
Humidity Sensors and Microfluidic Technologies,Magnetic Nanoparticles in Microfluidic Applications,Fisika,29,"[""Quartz crystal microbalance humidity sensors integrated with hydrophilic polyethyleneimine-grafted polyacrylonitrile nanofibers"", ""Detection of green-synthesized magnetite nanoparticles using spin-valve GMR-based sensor and their potential as magnetic labels"", ""New design of a commercial chip-based GMR sensor with magnetite nanoparticles for biosensing applications""]",55.1,"{""Fisika"": 27, ""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Magnetic Nanoparticles in Biomedical Applications,Magnetic Nanoparticles in Cancer Hyperthermia Therapy,Fisika,29,"[""A synthesis of polyethylene glycol (PEG)-coated magnetite Fe3O4 nanoparticles and their characteristics for enhancement of biosensor"", ""Green synthesis of Fe3O4/Ag composite nanoparticles using Moringa oleifera: Exploring microstructure, optical, and magnetic properties for magnetic hyperthermia applications"", ""Magnetically separable and reusable Fe3O4/chitosan nanocomposites green synthesized utilizing Moringa oleifera extract for rapid photocatalytic degradation of methylene blue""]",84.5,"{""Fisika"": 19, ""Ilmu Komputer dan Elektronika"": 4, ""Matematika"": 1, ""Kimia"": 5}"
Synthesis and Antimicrobial Activity of Derivatives,Pyrazoline Derivatives in Antimicrobial and Anticancer Applications,Kimia,29,"[""A Potent EGFR Inhibitor, N-Phenyl Pyrazoline Derivative Suppresses Aggressiveness and Cancer Stem Cell-Like Phenotype of Cervical Cancer Cells"", ""Some 2-arylbenzimidazole derivatives as an antimalarial agent: Synthesis, activity assay, molecular docking and pharmacological evaluation"", ""Thiophene-based N-phenyl pyrazolines: Synthesis, anticancer activity, molecular docking and ADME study""]",70.3,"{""Kimia"": 24, ""Ilmu Komputer dan Elektronika"": 2, ""Fisika"": 2, ""Matematika"": 1}"
Nanofibers and Their Multifunctional Applications,Electrospun Nanofibers in Biomedical Applications,Fisika,27,"[""Nanofibrous poly(vinyl alcohol)/chitosan contained carbonated hydroxyapatite nanoparticles scaffold for bone tissue engineering"", ""Biopolymer-based polycaprolactone-hydroxyapatite scaffolds for bone tissue engineering"", ""Tuning a Superhydrophobic Surface on an Electrospun Polyacrylonitrile Nanofiber Membrane by Polysulfone Blending""]",92.8,"{""Fisika"": 14, ""Matematika"": 3, ""Kimia"": 8, ""Ilmu Komputer dan Elektronika"": 2}"
Properties and Applications of Silver Nanoparticles,Antimicrobial and Anticancer Applications of Nanoparticles,Kimia,27,"[""Removal of AG 25 dye from aqueous solutions and treatment of real tannery wastewater by reusable magnetic iron oxide nanoparticles loaded with pomegranate pomace extract"", ""Effect of reaction time and stability properties of gold nanoparticles synthesized by p-aminobenzoic acid and p-aminosalicylic acid"", ""Synthesis of silver nanoparticles using tyrosine as reductor and capping agent""]",96.9,"{""Kimia"": 20, ""Fisika"": 5, ""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
Metal-Organic Frameworks in Environmental Applications,Innovative MOF Membranes for Gas Separation,Kimia,25,"[""Toward hydrogen storage material in fluorinated zirconium metal-organic framework (MOF-801): A periodic density functional theory (DFT) study of fluorination and adsorption"", ""Benchmark Paraffin Adsorption in a Super-Hydrophobic Porous Coordination Polymer with Blade-Like Circular Phenyl Nanotraps"", ""Theoretical investigation on the structure of mixed-metal zeolitic imidazolate framework and its interaction with CO2""]",98.6,"{""Kimia"": 22, ""Matematika"": 1, ""Fisika"": 2}"
Molecular Dynamics and Hydrogen Bonding in Water,Hydration Dynamics and Structural Insights in Aqueous Solutions,Kimia,24,"[""The effect of electron correlation in unraveling the hydration properties of Sc3+ in aqueous solution: A rigid body quantum mechanics/molecular mechanics simulation study"", ""In Silico Investigation of Tropical Natural Product for Wild-Type and Quadrupole Mutant PfDHFR Inhibitors as Antimalarial Candidates"", ""Carbon dioxide in liquid ammonia: An ab initio Quantum Mechanical/Molecular Mechanical Molecular Dynamics Thermodynamic Integration (QM/MM MD TI) simulation study on structure, dynamics and thermodynamics of solvation""]",71.5,"{""Kimia"": 22, ""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1}"
Optical Imaging Techniques for Tissue Analysis,Photoacoustic Imaging Techniques for Enhanced Tissue Analysis,Fisika,23,"[""Photoacoustic imaging of hidden dental caries using visible–light diode laser"", ""Photoacoustic Imaging for Periodontal Disease Examination"", ""The Influence of Diode Laser Intensity Modulation on Photoacoustic Image Quality for Oral Soft Tissue Imaging""]",60.1,"{""Fisika"": 18, ""Matematika"": 2, ""Ilmu Komputer dan Elektronika"": 2, ""Kimia"": 1}"
Surface Plasmon Resonance in Material Characterization,Surface Plasmon Resonance in Biosensing Applications,Fisika,23,"[""Localized surface plasmon resonance properties of green synthesized silver nanoparticles"", ""Silver nanoparticles-based localized surface plasmon resonance biosensor for Escherichia coli detection"", ""Green Synthesis of Fe3O4/Chitosan Nanoparticles Utilizing Moringa Oleifera Extracts and Their Surface Plasmon Resonance Propertie""]",84.8,"{""Fisika"": 16, ""Matematika"": 5, ""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Machine Learning Techniques for Data Classification and Prediction,Class Imbalance Learning Techniques,Ilmu Komputer dan Elektronika,22,"[""SMOTE for Handling Imbalanced Data Problem : A Review"", ""Radius-SMOTE: A New Oversampling Technique of Minority Samples Based on Radius Distance for Learning from Imbalanced Data"", ""Improving classifiaction performance of fetal umbilical cord using combination of SMOTE method and multiclassifier voting in imbalanced data and small dataset""]",95.6,"{""Ilmu Komputer dan Elektronika"": 15, ""Belum terpetakan"": 1, ""Fisika"": 4, ""Matematika"": 2}"
Image Encryption and Quantum Security,Lattice-Based Cryptography and Quantum Security,Ilmu Komputer dan Elektronika,20,"[""Securing color image transmission using compression-encryption model with dynamic key generator and efficient symmetric key distribution"", ""Eight Prime Numbers of Modified RSA Algorithm Method for More Secure Single Board Computer Implementation"", ""OPTIMIZING FPGA RESOURCE ALLOCATION FOR SHA-3 USING DSP48 AND PIPELINING TECHNIQUES""]",83.5,"{""Belum terpetakan"": 2, ""Ilmu Komputer dan Elektronika"": 8, ""Kimia"": 2, ""Matematika"": 5, ""Fisika"": 3}"
Machine Learning Applications in Transport and Commerce,Innovative Approaches in Time Series Forecasting,Ilmu Komputer dan Elektronika,20,"[""Exponential Smoothing on Modeling and Forecasting Multiple Seasonal Time Series: An Overview"", ""A survey of time series forecasting from stochastic method to soft computing"", ""The generalized STAR modelling with three-dimensional of spatial weight matrix in predicting the Indonesia peatland’s water level""]",95.6,"{""Belum terpetakan"": 4, ""Matematika"": 7, ""Ilmu Komputer dan Elektronika"": 8, ""Fisika"": 1}"
Zinc Oxide Nanostructures and Applications,Zinc Oxide Nanostructures in Photocatalytic Applications,Kimia,19,"[""Enhancing photodegradation of methylene blue and reusability using CoO/ZnO composite nanoparticles"", ""Reusability of Photocatalytic CoFe2O4@ZnO Core-Shell Nanoparticles for Dye Degradation"", ""Photocatalytic activity of magnetic core-shell CoFe2O4@ZnO nanoparticles for purification of methylene blue""]",88.7,"{""Fisika"": 7, ""Kimia"": 10, ""Belum terpetakan"": 2}"
Cellulose Innovations in Material Science Applications,Cellulose Nanocrystals in Advanced Composite Materials,Fisika,18,"[""Nanocellulose-based fibres derived from palm oil by-products and their in vitro biocompatibility analysis"", ""Fabrication of Nanofiltration Membrane based on Polyvinyl Alcohol Nanofibers Reinforced with Cellulose Nanocrystal using Electrospinning Techniques"", ""Effect of glycerol plasticizer on the structure and characteristics of bacterial cellulose-based biocomposite films""]",90.8,"{""Fisika"": 8, ""Kimia"": 7, ""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 2}"
Graph Properties and Their Applications in Mathematics,Graph Colorings and Chromatic Properties Exploration,Matematika,18,"[""Total edge irregularity strength of ladder-related graphs"", ""On total edge irregularity strength of staircase graphs and related graphs"", ""Totally irregular total labeling of some caterpil-lar graphs""]",17.7,"{""Matematika"": 13, ""Fisika"": 2, ""Kimia"": 2, ""Ilmu Komputer dan Elektronika"": 1}"
Innovative Approaches in Finite Element Analysis and Crack Propagation,Boundary Element Method Applications in Heat Transfer,Matematika,18,"[""Numerical simulation of two-dimensional modified Helmholtz problems for anisotropic functionally graded materials"", ""A boundary-only integral equation method for parabolic problems of another class of anisotropic functionally graded materials"", ""A combined laplace transform and boundary element method for unsteady laplace problems of several classes of anisotropic functionally graded materials""]",67.4,"{""Matematika"": 15, ""Fisika"": 2, ""Kimia"": 1}"
Designing Technology for User-Centric Health Solutions,Ethical Design Principles in Technology Development,Ilmu Komputer dan Elektronika,17,"[""A study on the prevalence of human values in software engineering publications, 2015 2"", ""Human Values in Software Engineering: Contrasting Case Studies of Practice"", ""Operationalizing Human Values in Software Engineering: A Survey""]",71.9,"{""Ilmu Komputer dan Elektronika"": 16, ""Matematika"": 1}"
Mathematical Models in Disease Dynamics and Control,Mathematical Models in Cancer Treatment Dynamics,Matematika,17,"[""Determination of Basic Reproduction Numbers using Transition Intensities Multi-state SIRD Model for COVID-19 in Indonesia"", ""Modelling malaria transmission in a population with SEIRSP method"", ""Stability analysis of an age-structured model of cervical cancer cells and HPV dynamics""]",54.5,"{""Matematika"": 12, ""Kimia"": 3, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Optimization Algorithms in Multi-Objective Systems,Innovative Algorithms for Global Optimization Challenges,Ilmu Komputer dan Elektronika,17,"[""Non parameter-filled function for global optimization"", ""A Hybrid Ant Colony and Grey Wolf Optimization Algorithm for Exploitation-Exploration Balance"", ""Finding global minima with an inflection point-based filled function algorithm""]",93.9,"{""Matematika"": 6, ""Ilmu Komputer dan Elektronika"": 9, ""Kimia"": 2}"
Innovative Clustering Techniques for Data Segmentation,Clustering Techniques in Data Mining Applications,Matematika,16,"[""A medoid-based deviation ratio index to determine the number of clusters in a dataset"", ""The Performance Evaluation of K-Means and Agglomerative Hierarchical Clustering for Rainfall Patterns and Modelling"", ""Multi-Cluster DBSCAN for Analysing Tourism Data""]",37.0,"{""Matematika"": 9, ""Ilmu Komputer dan Elektronika"": 3, ""Fisika"": 3, ""Kimia"": 1}"
Nitrogen Dynamics and Greenhouse Gas Emissions,Controlled-Release Fertilizers for Enhanced Nutrient Management,Kimia,16,"[""Controlled release fertilizer encapsulated by glutaraldehyde-crosslinked chitosan using freeze-drying method"", ""Bioplastic composite of carboxymethyl cellulose/N-P-K fertilizer"", ""Synthesis and characterization of chitosan-modified membrane for urea slow-release fertilizers""]",85.5,"{""Kimia"": 10, ""Ilmu Komputer dan Elektronika"": 2, ""Fisika"": 3, ""Matematika"": 1}"
Biomass Conversion and Catalytic Innovations,Catalytic Pathways for Gamma-Valerolactone Production,Kimia,15,"[""Fuels and fuel additives from furfural derivatives via etherification and formation of methylfurans"", ""Sulfonic acid-functionalized silica with controlled hydrophobicity as an effective catalyst for esterification of levulinic acid"", ""Modification of chitosan-coated magnetic material with glycidyltrimethylammonium chloride and its application as heterogeneous base catalyst for levulinic acid esterification""]",98.1,"{""Kimia"": 14, ""Belum terpetakan"": 1}"
Biometric Recognition Systems for Enhanced Security,Fingerprint Recognition Systems and Image Processing Techniques,Ilmu Komputer dan Elektronika,15,"[""Human Face Detection and Tracking Using RetinaFace Network for Surveillance Systems"", ""Partial Fingerprint on Combined Evaluation using Deep Learning and Feature Descriptor"", ""A Fusion Methodology of AKAZE and Neural Network for Fingerprint Recognition""]",82.0,"{""Ilmu Komputer dan Elektronika"": 12, ""Fisika"": 3}"
Chitosan Applications in Health and Food Packaging,Chitin and Chitosan: Sustainable Biopolymer Applications,Kimia,15,"[""Optimization of thiamine chitosan nanoemulsion production using sonication treatment"", ""Facile fabrication of chitosan Schiff bases from giant tiger prawn shells (Penaeus monodon) via solvent-free mechanochemical grafting"", ""The preparation and characterization of Alginate–Chitosan membranes as solid support for BTB and urease entrapment""]",95.0,"{""Kimia"": 11, ""Fisika"": 4}"
Graphene Innovations in Electronic and Optical Applications,Graphene Optical Properties and Thermal Applications,Fisika,15,"[""Significantly enhanced thermoelectric performance of interstitial N-doped graphene: A density functional theory study"", ""Frequency dependence dielectrophoresis technique for bridging graphene nanoribbons"", ""Optical properties of CVD-grown multilayer graphene on nickel using spectroscopic ellipsometry""]",82.7,"{""Fisika"": 9, ""Kimia"": 3, ""Matematika"": 2, ""Ilmu Komputer dan Elektronika"": 1}"
Image Processing and Recognition Systems,Scene Text Recognition Systems,Ilmu Komputer dan Elektronika,15,"[""A decade: Review of scene text detection methods"", ""CNN-Based Classification for Highly Similar Vehicle Model Using Multi-Task Learning"", ""Robust license plate detection in complex scene using MSER-Dominant Vertical Sobel""]",75.3,"{""Ilmu Komputer dan Elektronika"": 12, ""Matematika"": 2, ""Fisika"": 1}"
Integrating User Preferences in Recommendation Systems,Collaborative Filtering for E-Commerce,Ilmu Komputer dan Elektronika,15,"[""A Scientific Paper Recommendation Framework Based on Multi-Topic Communities and Modified PageRank"", ""Trust Decay-Based Temporal Learning for Dynamic Recommender Systems With Concept Drift Adaptation"", ""A hybrid recommender system based on customer behavior and transaction data using generalized sequential pattern algorithm""]",90.0,"{""Ilmu Komputer dan Elektronika"": 11, ""Fisika"": 1, ""Matematika"": 2, ""Kimia"": 1}"
Fuzzy Logic Applications in Decision-Making Models,Fuzzy Graphs and Their Applications in Networks,Matematika,14,"[""Fuzzy chromatic number of union of fuzzy graphs: An algorithm, properties and its application"", ""Characterizations of Pointwise Pseudometrics via Pointwise Closed-Ball Systems"", ""SI2-topology on T0 spaces""]",85.9,"{""Matematika"": 11, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1, ""Fisika"": 1}"
Geophysical Methods for Subsurface Characterization,Geophysical Data Interpretation in Resource Exploration,Fisika,14,"[""Utilization and modeling of satellite gravity data for geohazard assessment in the Yogyakarta area of Java Island, Indonesia"", ""Integration of gravity and magnetic inversion for geothermal system evaluation in Suli and Tulehu, Ambon, eastern Indonesia"", ""Pseudo Sliding Plane in Super-Thick Soil Materials Deposit at Ngasinan Deep Landslide Area""]",40.2,"{""Fisika"": 10, ""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 2}"
Antioxidant and Antimicrobial Properties of Essential Oils,Plectranthus Essential Oils and Their Medicinal Potential,Kimia,13,"[""Attenuated total reflectance-FTIR spectra combined with multivariate calibration and discrimination analysis for analysis of patchouli oil adulteration"", ""Isolation and characterization of antioxidant compounds of bangun-bangun (Coleus amboinicus, l.) leaves from north sumatera, indonesia"", ""Untargeted LC/HRMS Metabolomics Analysis and Anticancer Activity Assay on MCF-7 and A549 Cells from Coleus amboinicus Lour Leaf Extract""]",87.6,"{""Kimia"": 11, ""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1}"
Endodontics and Dental Regeneration,Innovative Applications of Mineral Trioxide Aggregate in Dentistry,Kimia,13,"[""Improving mechanical, biological, and adhesive properties of synthesized mineral trioxide aggregate by adding chitosan"", ""Enhancing Compressive Strength and Dentin Interaction of Mineral Trioxide Aggregate by Adding SrO and Hydroxyapatite"", ""Physicochemical and antibacterial properties of ZnO/chitosan-modified mineral trioxide aggregate composites""]",75.9,"{""Kimia"": 12, ""Ilmu Komputer dan Elektronika"": 1}"
Seismic Response and Ground Motion Modeling Insights,Seismic Site Characterization and Response Analysis,Fisika,13,"[""Lithological modelling based on shear wave velocity using horizontal to vertical spectral ratio (HVSR) inversion of ellipticity curve method to mitigate landslide hazards at the main road Of Samigaluh District, Kulon Progo Regency, Yogyakarta"", ""Analysis of potential soil fracture based on ground shear strain values in Solok, West Sumatra"", ""Quaternary Deposit Response to Earthquakes in Pemalang City Based on Peak Ground Acceleration, Earthquake Intensity, and Microtremor Method""]",34.0,"{""Fisika"": 9, ""Ilmu Komputer dan Elektronika"": 3, ""Matematika"": 1}"
Cybersecurity Frameworks for Enhanced User Protection,Security Frameworks for Industrial Control Systems,Ilmu Komputer dan Elektronika,12,"[""Phishing Detection System Through Hybrid Machine Learning Based on URL"", ""The Dynamic Symmetric Four-Key-Generators System for Securing Data Transmission in the Industrial Control System"", ""Real-time Testing on Improved Data Transmission Security in the Industrial Control System""]",93.9,"{""Ilmu Komputer dan Elektronika"": 8, ""Fisika"": 1, ""Kimia"": 1, ""Matematika"": 2}"
Functional Equations in Normed Spaces,Generalized Integrals and Differential Equations in Banach Spaces,Matematika,12,"[""A generalization of (unbounded) order convergence in Riesz spaces"", ""ON STATISTICALLY φ-CONVERGENCE"", ""THE BACKWARDS MCSHANE INTEGRAL: AN ALTERNATIVE APPROACH USING FULL DIVISIONS""]",8.8,"{""Matematika"": 10, ""Kimia"": 1, ""Fisika"": 1}"
Innovative Approaches in Wastewater Treatment Technologies,Electrochemical Techniques for Wastewater Degradation,Kimia,12,"[""Graphite/NiO/Ni electrode for electro-oxidation of the remazol black 5 dye"", ""Enhancement of Fenton Performance at Near-Neutral pH by Using Ethylene Diamine Tetra Acetic Acid for Anionic Surfactant Removal from a Laundry Wastewater"", ""Improvement of the photo-Fenton performance at near neutral pH by the addition of tannic acid from tea leaves waste as a complexing agent in the Pb(II) photo-oxidation""]",90.3,"{""Kimia"": 9, ""Belum terpetakan"": 1, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Integrative Approaches in Data Mining and Machine Learning,Innovative Approaches in Topic Modeling Techniques,Ilmu Komputer dan Elektronika,12,"[""Traffic Event Detection from Twitter Using a Combination of CNN and BERT"", ""Visualizing Change and Correlation of Topics With LDA and Agglomerative Clustering on COVID-19 Vaccine Tweets"", ""Single document keywords extraction in Bahasa Indonesia using phrase chunking""]",63.4,"{""Ilmu Komputer dan Elektronika"": 9, ""Kimia"": 1, ""Matematika"": 2}"
